,Ridge,Lasso,Elastic Net
Ridge,1.0,0.6961780967575305,0.8816025388793547
Lasso,0.6961780967575305,1.0,0.5244816735298354
Elastic Net,0.8816025388793547,0.5244816735298354,1.0
